dataset,modelo,instance,time_milp,len_milp,time_milp_relaxed,len_milp_relaxed
breast_cancer,model_2layers_20neurons.h5,54,0.6240942478179932,21,"[0.1714634895324707, 0.14491057395935059, 0.3734855651855469, 0.19336771965026855, 0.1549830436706543, 0.21805715560913086, 1.0193688869476318, 0.9043924808502197, 0.928267240524292, 0.6622941493988037]","[0, 0, 0, 0, 0, 0, 3, 8, 16, 21]"
breast_cancer,model_2layers_20neurons.h5,55,0.4230563640594482,27,"[0.1579582691192627, 0.14518475532531738, 0.14697051048278809, 0.17798495292663574, 0.17446041107177734, 0.49960827827453613, 0.3015017509460449, 0.3412821292877197, 0.4716153144836426, 0.4013020992279053]","[0, 0, 0, 0, 5, 12, 18, 26, 26, 27]"
breast_cancer,model_2layers_20neurons.h5,56,0.7246861457824707,21,"[0.16344690322875977, 0.1645793914794922, 0.14822125434875488, 0.1488814353942871, 0.19269156455993652, 0.20863032341003418, 0.4191715717315674, 0.923454761505127, 0.767214298248291, 0.6821064949035645]","[0, 0, 0, 0, 0, 0, 3, 9, 16, 21]"
breast_cancer,model_2layers_20neurons.h5,57,0.704571008682251,24,"[0.14416718482971191, 0.16202878952026367, 0.15506315231323242, 0.1914043426513672, 0.15899658203125, 0.15794944763183594, 0.24895906448364258, 0.7472822666168213, 0.8535242080688477, 0.6494021415710449]","[0, 0, 0, 0, 0, 0, 0, 1, 11, 24]"
breast_cancer,model_2layers_20neurons.h5,58,0.6859943866729736,23,"[0.1450972557067871, 0.1436619758605957, 0.1665055751800537, 0.14992046356201172, 0.18834662437438965, 0.15219759941101074, 0.21587514877319336, 0.6423993110656738, 0.795365571975708, 0.6580538749694824]","[0, 0, 0, 0, 0, 0, 0, 3, 17, 23]"
breast_cancer,model_2layers_20neurons.h5,59,0.5961699485778809,25,"[0.2025289535522461, 0.19295191764831543, 0.15555500984191895, 0.14818096160888672, 0.1539757251739502, 0.3655409812927246, 0.5786912441253662, 0.7221336364746094, 0.5391595363616943, 0.510371208190918]","[0, 0, 0, 0, 0, 0, 7, 13, 23, 25]"
breast_cancer,model_2layers_20neurons.h5,60,0.579552412033081,23,"[0.17733407020568848, 0.1903536319732666, 0.19721364974975586, 0.15538740158081055, 0.16106343269348145, 0.15534758567810059, 0.20640873908996582, 0.7092819213867188, 0.8200955390930176, 0.5934839248657227]","[0, 0, 0, 0, 0, 0, 0, 2, 16, 23]"
breast_cancer,model_2layers_20neurons.h5,61,0.6547307968139648,23,"[0.1440896987915039, 0.16188406944274902, 0.21050024032592773, 0.17724895477294922, 0.1562941074371338, 0.23182153701782227, 0.6512429714202881, 0.6776387691497803, 1.0051703453063965, 0.9830763339996338]","[0, 0, 0, 0, 0, 0, 0, 3, 11, 23]"
breast_cancer,model_2layers_20neurons.h5,62,0.2979962825775146,29,"[0.18287181854248047, 0.18902873992919922, 0.1577303409576416, 0.14626502990722656, 0.19381022453308105, 0.2115161418914795, 0.3249528408050537, 0.34458398818969727, 0.4268803596496582, 0.37302160263061523]","[0, 0, 0, 0, 9, 14, 16, 19, 22, 29]"
breast_cancer,model_2layers_20neurons.h5,63,0.5442514419555664,25,"[0.1442115306854248, 0.1462392807006836, 0.19464850425720215, 0.15606069564819336, 0.15394926071166992, 0.1985335350036621, 0.4300570487976074, 0.9731261730194092, 0.747638463973999, 0.5739028453826904]","[0, 0, 0, 0, 0, 0, 0, 4, 17, 25]"
