dataset,modelo,instance,time_milp,len_milp,time_milp_relaxed,len_milp_relaxed
digits,model_4layers_20neurons.h5,10,,,"[0.6736745834350586, 0.7899665832519531, 0.6440327167510986, 0.6411972045898438, 0.6427340507507324, 0.6270284652709961, 0.6457602977752686, 0.6789507865905762, 0.7336809635162354, 0.6265268325805664, 0.6624307632446289, 0.6429164409637451, 0.6412532329559326, 0.6446385383605957, 0.6635236740112305, 0.631239652633667, 0.6186695098876953, 0.6326406002044678, 0.6252493858337402]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_4layers_20neurons.h5,11,,,"[0.6167757511138916, 0.7668218612670898, 0.6391959190368652, 0.5992932319641113, 0.6372470855712891, 0.6997718811035156, 0.6875030994415283, 0.6288869380950928, 0.8798036575317383, 0.7675027847290039, 0.8188698291778564, 0.8614327907562256, 0.6542167663574219, 0.7502474784851074, 0.6862962245941162, 0.6674842834472656, 0.6425004005432129, 0.6824619770050049, 0.617929220199585]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_4layers_20neurons.h5,12,,,"[0.6247274875640869, 0.8093056678771973, 0.6536211967468262, 0.6535325050354004, 0.6297767162322998, 0.6571109294891357, 0.6167256832122803, 0.6486749649047852, 0.6476726531982422, 0.629777193069458, 0.6324424743652344, 0.6171715259552002, 0.6486260890960693, 0.5913071632385254, 0.6407814025878906, 0.6575250625610352, 0.6201510429382324, 0.6078526973724365, 0.602935791015625]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_4layers_20neurons.h5,13,,,"[0.6645083427429199, 0.7802855968475342, 0.6540422439575195, 0.6667284965515137, 0.6540343761444092, 0.6501502990722656, 0.6605103015899658, 0.645881175994873, 0.635390043258667, 0.6319916248321533, 0.6877074241638184, 0.7010021209716797, 0.6475648880004883, 0.6743037700653076, 0.7039413452148438, 0.6822843551635742, 0.6886451244354248, 0.6969687938690186, 0.7972438335418701]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_4layers_20neurons.h5,14,,,"[0.8508486747741699, 1.0374910831451416, 0.7768018245697021, 0.8175771236419678, 0.777275562286377, 0.663682222366333, 0.82193922996521, 0.6197242736816406, 0.6121797561645508, 0.6678805351257324, 0.6119472980499268, 0.6380364894866943, 0.6456437110900879, 0.6465730667114258, 0.6371567249298096, 0.6238224506378174, 0.6394023895263672, 0.6042037010192871, 0.6204979419708252]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_4layers_20neurons.h5,15,,,"[0.66341233253479, 0.9364364147186279, 0.6492891311645508, 0.6742956638336182, 0.6419081687927246, 0.7484540939331055, 0.655907392501831, 0.6333420276641846, 0.7032608985900879, 0.6637675762176514, 0.6539230346679688, 0.5979897975921631, 0.6366620063781738, 0.646026611328125, 0.6098873615264893, 0.6286346912384033, 0.6531007289886475, 0.6359946727752686, 0.5902345180511475]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_4layers_20neurons.h5,16,,,"[0.6247940063476562, 0.7788212299346924, 0.6249737739562988, 0.6394522190093994, 0.6350522041320801, 0.6886346340179443, 0.6216552257537842, 0.6797511577606201, 0.6578760147094727, 0.6129899024963379, 0.6233747005462646, 0.6433277130126953, 0.6390233039855957, 0.6275391578674316, 0.638383150100708, 0.6535518169403076, 0.6292884349822998, 0.7165842056274414, 0.6372718811035156]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_4layers_20neurons.h5,17,,,"[0.5915508270263672, 0.8010926246643066, 0.6899814605712891, 0.6455016136169434, 0.6367483139038086, 0.6143481731414795, 0.6252739429473877, 0.6317739486694336, 0.7133846282958984, 0.8307461738586426, 0.8022575378417969, 0.6720516681671143, 0.6736195087432861, 0.9917466640472412, 0.6731288433074951, 0.6574864387512207, 0.6404478549957275, 0.6135601997375488, 0.6408710479736328]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_4layers_20neurons.h5,18,,,"[0.6363425254821777, 0.7819476127624512, 0.6538701057434082, 0.693612813949585, 0.6453583240509033, 0.6561427116394043, 0.8210704326629639, 0.8914728164672852, 0.8184061050415039, 0.8686668872833252, 1.0754671096801758, 1.1177845001220703, 0.7737834453582764, 0.7086482048034668, 0.6829252243041992, 0.7264423370361328, 0.732579231262207, 0.6734030246734619, 0.6342904567718506]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_4layers_20neurons.h5,19,,,"[0.6318604946136475, 0.7847540378570557, 0.6757524013519287, 0.6390180587768555, 0.6360387802124023, 0.6334257125854492, 0.6253235340118408, 0.6347639560699463, 0.6499509811401367, 0.6346969604492188, 0.639122724533081, 0.6410026550292969, 0.6584725379943848, 0.6710009574890137, 0.6343789100646973, 0.6429786682128906, 0.6272714138031006, 0.6203837394714355, 0.6260650157928467]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_4layers_20neurons.h5,20,,,"[0.6672251224517822, 1.0946385860443115, 0.8973402976989746, 0.674797773361206, 0.6742832660675049, 0.6897270679473877, 0.6616368293762207, 0.8515558242797852, 0.7981481552124023, 0.7301137447357178, 0.7929046154022217, 0.7405166625976562, 0.7071621417999268, 0.8153619766235352, 0.9041256904602051, 0.7188811302185059, 0.812279462814331, 0.8583312034606934, 1.1698484420776367]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_4layers_20neurons.h5,21,,,"[0.7973828315734863, 0.983701229095459, 0.7852640151977539, 0.7199664115905762, 0.6950445175170898, 0.7044456005096436, 0.6799051761627197, 0.7105698585510254, 0.7057111263275146, 0.7493946552276611, 0.6866927146911621, 0.8941655158996582, 0.762192964553833, 0.7120723724365234, 0.7889955043792725, 0.7609953880310059, 0.6863069534301758, 0.6630582809448242, 0.6881425380706787]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_4layers_20neurons.h5,22,,,"[0.7079296112060547, 0.8681280612945557, 0.6730606555938721, 0.6572010517120361, 0.6182777881622314, 0.6811509132385254, 0.7795271873474121, 0.6196849346160889, 0.6754186153411865, 0.6657023429870605, 0.6627862453460693, 0.7064242362976074, 0.6344666481018066, 0.6405751705169678, 0.6249871253967285, 0.6860239505767822, 0.6475770473480225, 0.6473977565765381, 0.6801760196685791]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
