dataset,modelo,instance,time_milp,len_milp,time_milp_relaxed,len_milp_relaxed
digits,model_1layers_20neurons.h5,17,1.3061354160308838,44,"[0.47692012786865234, 0.4371047019958496, 0.4326789379119873, 0.5054781436920166, 0.4239621162414551, 0.45021605491638184, 0.41019701957702637, 0.43019652366638184, 0.5027568340301514, 0.4206383228302002]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,18,1.181248903274536,47,"[0.5193054676055908, 0.43158888816833496, 0.4649646282196045, 0.42952942848205566, 0.47089076042175293, 0.47301363945007324, 0.42813801765441895, 0.4661691188812256, 0.4297788143157959, 0.4916372299194336]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,19,1.3722317218780518,42,"[0.4420332908630371, 0.5549249649047852, 0.47830867767333984, 0.4596843719482422, 0.4206826686859131, 0.44826412200927734, 0.4708991050720215, 0.42513489723205566, 0.7085564136505127, 0.41050076484680176]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,20,1.6175456047058103,45,"[0.5019505023956299, 0.5203943252563477, 0.4394111633300781, 0.47573375701904297, 0.44156932830810547, 0.4510684013366699, 0.49587583541870117, 0.4289133548736572, 0.4620239734649658, 0.4194653034210205]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,21,1.5763249397277832,41,"[0.45409488677978516, 0.47391414642333984, 0.4947049617767334, 0.427964448928833, 0.45375585556030273, 0.42652225494384766, 0.45745372772216797, 0.47635698318481445, 0.4158477783203125, 0.4428732395172119]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,22,2.1129183769226074,40,"[0.4450809955596924, 0.5104453563690186, 0.4624674320220947, 0.4340028762817383, 0.4769470691680908, 0.5149521827697754, 0.5361933708190918, 0.4602079391479492, 0.48429322242736816, 0.4613821506500244]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,23,1.350592851638794,41,"[0.5340728759765625, 0.496826171875, 0.5941529273986816, 0.4462404251098633, 0.46407365798950195, 0.43254685401916504, 0.488739013671875, 0.45427393913269043, 0.4186522960662842, 0.4653141498565674]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,24,0.9874157905578612,46,"[0.4446125030517578, 0.46181201934814453, 0.43405818939208984, 0.4487745761871338, 0.47304463386535645, 0.42716503143310547, 0.45542287826538086, 0.42403531074523926, 0.465254545211792, 0.4646272659301758]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,25,0.8982698917388916,47,"[0.5871243476867676, 0.5259075164794922, 0.43102049827575684, 0.4617805480957031, 0.4215562343597412, 0.45790719985961914, 0.48168492317199707, 0.4291808605194092, 0.46894288063049316, 0.4151790142059326]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,26,1.3183033466339111,48,"[0.49053263664245605, 0.454632043838501, 0.5200436115264893, 0.43061351776123047, 0.45433735847473145, 0.4343845844268799, 0.4305155277252197, 0.526782751083374, 0.42244863510131836, 0.44831109046936035]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,27,1.0659432411193848,50,"[0.5246148109436035, 0.4829404354095459, 0.4775528907775879, 0.46587276458740234, 0.5505013465881348, 0.4706614017486572, 0.45233798027038574, 0.43131208419799805, 0.511474609375, 0.4158804416656494]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,28,1.2248759269714355,47,"[0.5400314331054688, 0.4369008541107178, 0.4513728618621826, 0.4318976402282715, 0.4238710403442383, 0.5178043842315674, 0.4171569347381592, 0.4539520740509033, 0.42111778259277344, 0.43112993240356445]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
