dataset,modelo,instance,time_milp,len_milp,time_milp_relaxed,len_milp_relaxed
wine,model_1layers_20neurons.h5,10,0.2044167518615722,9,"[0.19278430938720703, 0.1575179100036621, 0.12672805786132812, 0.11657309532165527, 0.1409602165222168, 0.12915468215942383, 0.13795709609985352, 0.1543562412261963, 0.1394493579864502, 0.15061283111572266]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,11,0.2089176177978515,8,"[0.1283872127532959, 0.12207913398742676, 0.1234748363494873, 0.11607742309570312, 0.12505817413330078, 0.1502091884613037, 0.11858057975769043, 0.10996103286743164, 0.1073610782623291, 0.10878276824951172]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,12,0.167116641998291,8,"[0.12966418266296387, 0.12830257415771484, 0.11823177337646484, 0.15539836883544922, 0.13312053680419922, 0.1311945915222168, 0.13657164573669434, 0.1130073070526123, 0.10202836990356445, 0.11906981468200684]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,13,0.1883106231689453,8,"[0.11519241333007812, 0.18326354026794434, 0.20650410652160645, 0.13857221603393555, 0.1372239589691162, 0.15784573554992676, 0.16576910018920898, 0.22843408584594727, 0.12197136878967285, 0.11993193626403809]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,14,0.140601634979248,9,"[0.13417267799377441, 0.12176132202148438, 0.17331457138061523, 0.12548351287841797, 0.11774230003356934, 0.12090802192687988, 0.12288427352905273, 0.12410712242126465, 0.11506366729736328, 0.1059565544128418]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,15,0.1502587795257568,10,"[0.1289806365966797, 0.1495356559753418, 0.1308887004852295, 0.13400006294250488, 0.12956500053405762, 0.15119576454162598, 0.14210152626037598, 0.17118501663208008, 0.12885284423828125, 0.1434040069580078]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,16,0.1361098289489746,8,"[0.13988304138183594, 0.15720415115356445, 0.21114230155944824, 0.33291196823120117, 0.190704345703125, 0.16417264938354492, 0.12871742248535156, 0.11732888221740723, 0.12724089622497559, 0.16724324226379395]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,17,0.1959218978881836,8,"[0.145158052444458, 0.12726640701293945, 0.11972784996032715, 0.12860679626464844, 0.14118385314941406, 0.15211725234985352, 0.1541893482208252, 0.14278674125671387, 0.12822437286376953, 0.13501811027526855]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,18,0.3820233345031738,10,"[0.16282272338867188, 0.12636184692382812, 0.11865949630737305, 0.10934305191040039, 0.11118817329406738, 0.11579298973083496, 0.1172788143157959, 0.10190701484680176, 0.13107776641845703, 0.1258997917175293]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,19,0.1781761646270752,9,"[0.2564406394958496, 0.2201673984527588, 0.289914608001709, 0.1625523567199707, 0.12520956993103027, 0.13614416122436523, 0.11832046508789062, 0.11989402770996094, 0.1278226375579834, 0.1378192901611328]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
