dataset,modelo,instance,time_milp,len_milp,time_milp_relaxed,len_milp_relaxed
glass,model_1layers_20neurons.h5,13,0.0752871036529541,7,"[0.08053851127624512, 0.08992195129394531, 0.09947466850280762, 0.08333873748779297, 0.0777444839477539, 0.07554864883422852, 0.07844758033752441, 0.0754246711730957, 0.07419490814208984, 0.07182788848876953]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,14,0.1226956844329834,6,"[0.07628750801086426, 0.08143782615661621, 0.07267141342163086, 0.07204627990722656, 0.07390928268432617, 0.0697014331817627, 0.06632614135742188, 0.06750798225402832, 0.0671379566192627, 0.06653547286987305]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,15,0.0817549228668212,8,"[0.09263443946838379, 0.07058143615722656, 0.06766510009765625, 0.0699315071105957, 0.06640839576721191, 0.06291747093200684, 0.0669856071472168, 0.06439661979675293, 0.0665290355682373, 0.06574487686157227]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,16,0.1227905750274658,7,"[0.07888293266296387, 0.09093356132507324, 0.1132040023803711, 0.08003687858581543, 0.08184933662414551, 0.07473516464233398, 0.06928515434265137, 0.06537151336669922, 0.06920409202575684, 0.06643962860107422]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,17,0.0987918376922607,6,"[0.07733321189880371, 0.09003686904907227, 0.27897024154663086, 0.12049460411071777, 0.07617807388305664, 0.06633782386779785, 0.06981587409973145, 0.06607246398925781, 0.06740427017211914, 0.07595157623291016]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,18,0.066584825515747,8,"[0.12683320045471191, 0.08944559097290039, 0.09963059425354004, 0.0819852352142334, 0.0725867748260498, 0.07638072967529297, 0.0693516731262207, 0.06999707221984863, 0.06970739364624023, 0.07082462310791016]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,19,0.0913841724395752,7,"[0.07415461540222168, 0.07686328887939453, 0.08615660667419434, 0.06933784484863281, 0.06751656532287598, 0.06870388984680176, 0.08770036697387695, 0.07504892349243164, 0.07463407516479492, 0.07744932174682617]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,20,0.0819003582000732,7,"[0.0847775936126709, 0.0740056037902832, 0.08095431327819824, 0.07785749435424805, 0.08667564392089844, 0.08683896064758301, 0.0820779800415039, 0.07632875442504883, 0.0760352611541748, 0.08024263381958008]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,21,0.1232731342315673,7,"[0.06955933570861816, 0.07692480087280273, 0.07270503044128418, 0.07193636894226074, 0.07563281059265137, 0.07969450950622559, 0.07785749435424805, 0.07405900955200195, 0.07328557968139648, 0.08588671684265137]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,22,0.0932278633117675,7,"[0.07746100425720215, 0.09153914451599121, 0.0921940803527832, 0.07755613327026367, 0.08433985710144043, 0.10685396194458008, 0.11080336570739746, 0.11188626289367676, 0.09300351142883301, 0.07685232162475586]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,23,0.1157188415527343,6,"[0.0924534797668457, 0.08398699760437012, 0.07666850090026855, 0.07278847694396973, 0.07756876945495605, 0.07564353942871094, 0.07596993446350098, 0.07963061332702637, 0.0779869556427002, 0.0736689567565918]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,24,0.103039264678955,7,"[0.06849265098571777, 0.07710886001586914, 0.07819128036499023, 0.07960033416748047, 0.07876443862915039, 0.07979249954223633, 0.08028173446655273, 0.08548712730407715, 0.08560633659362793, 0.08287954330444336]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
