dataset,modelo,instance,original_time_milp,original_len_milp,original_explanation
wine,model_1layers_20neurons.h5,47,0.1892533302307129,8,"{'x_0': 0.6657894736842107, 'x_3': 0.2886597938144329, 'x_6': 0.6223628691983122, 'x_7': 0.3962264150943396, 'x_9': 0.3898756660746003, 'x_10': 0.3821138211382114, 'x_11': 0.7728937728937728, 'x_12': 0.4074074074074074}"
wine,model_1layers_20neurons.h5,48,0.1265230178833007,11,"{'x_2': 0.7593582887700533, 'x_3': 0.922680412371134, 'x_4': 0.2391304347826087, 'x_5': 0.396551724137931, 'x_6': 0.4008438818565401, 'x_7': 0.8490566037735847, 'x_8': 0.4240506329113924, 'x_9': 0.1119005328596803, 'x_10': 0.3983739837398374, 'x_11': 0.4285714285714285, 'x_12': 0.1481481481481481}"
wine,model_1layers_20neurons.h5,49,0.1153845787048339,9,"{'x_0': 0.5315789473684216, 'x_1': 0.2362525458248471, 'x_3': 0.7422680412371134, 'x_6': 0.4936708860759493, 'x_7': 0.641509433962264, 'x_9': 0.1634103019538188, 'x_10': 0.5284552845528454, 'x_11': 0.7069597069597071, 'x_12': 0.4349881796690308}"
wine,model_1layers_20neurons.h5,50,0.1274826526641845,10,"{'x_0': 0.4789473684210525, 'x_3': 0.3711340206185567, 'x_4': 0.2717391304347826, 'x_6': 0.4282700421940927, 'x_7': 0.2452830188679245, 'x_8': 0.3291139240506329, 'x_9': 0.19449378330373, 'x_10': 0.4959349593495936, 'x_11': 0.8644688644688645, 'x_12': 0.5807722616233255}"
wine,model_1layers_20neurons.h5,51,0.1608200073242187,10,"{'x_2': 0.5561497326203207, 'x_4': 0.3043478260869566, 'x_5': 0.0586206896551724, 'x_6': 0.1582278481012658, 'x_7': 0.2641509433962264, 'x_8': 0.1297468354430379, 'x_9': 0.3516873889875666, 'x_10': 0.1463414634146342, 'x_11': 0.032967032967033, 'x_12': 0.2222222222222222}"
wine,model_1layers_20neurons.h5,52,0.0917341709136962,10,"{'x_0': 0.4447368421052635, 'x_1': 0.1873727087576374, 'x_2': 0.449197860962567, 'x_3': 0.4226804123711341, 'x_6': 0.4620253164556961, 'x_8': 0.4272151898734177, 'x_9': 0.191829484902309, 'x_10': 0.5528455284552845, 'x_11': 0.684981684981685, 'x_12': 0.3435776201733649}"
wine,model_1layers_20neurons.h5,53,0.1302642822265625,9,"{'x_2': 0.5561497326203207, 'x_3': 0.6391752577319587, 'x_6': 0.4662447257383965, 'x_7': 0.5660377358490566, 'x_8': 0.4841772151898734, 'x_9': 0.0737122557726465, 'x_10': 0.5772357723577235, 'x_11': 0.6813186813186813, 'x_12': 0.1457840819542947}"
wine,model_1layers_20neurons.h5,54,0.127742052078247,9,"{'x_0': 0.2131578947368422, 'x_2': 0.6524064171122995, 'x_3': 0.3814432989690721, 'x_6': 0.3945147679324894, 'x_8': 0.610759493670886, 'x_9': 0.1163410301953818, 'x_10': 0.2520325203252033, 'x_11': 0.6630036630036631, 'x_12': 0.1907013396375098}"
wine,model_1layers_20neurons.h5,55,0.1408238410949707,9,"{'x_1': 0.6313645621181263, 'x_2': 0.6149732620320855, 'x_3': 0.134020618556701, 'x_6': 0.5696202531645569, 'x_7': 0.1320754716981132, 'x_9': 0.2984014209591474, 'x_10': 0.3333333333333333, 'x_11': 0.8278388278388278, 'x_12': 0.3798266351457842}"
wine,model_1layers_20neurons.h5,56,0.1417779922485351,8,"{'x_0': 0.4131578947368424, 'x_2': 0.2887700534759357, 'x_3': 0.4072164948453608, 'x_6': 0.2151898734177215, 'x_9': 0.0630550621669627, 'x_10': 0.4552845528455285, 'x_11': 0.5494505494505495, 'x_12': 0.2237982663514578}"
wine,model_1layers_20neurons.h5,57,0.1401801109313964,10,"{'x_2': 0.5080213903743315, 'x_3': 0.6288659793814433, 'x_5': 0.2758620689655172, 'x_6': 0.2848101265822784, 'x_7': 0.5660377358490566, 'x_8': 0.360759493670886, 'x_9': 0.0630550621669627, 'x_10': 0.6910569105691058, 'x_11': 0.3626373626373625, 'x_12': 0.1710007880220646}"
wine,model_1layers_20neurons.h5,58,0.1543741226196289,9,"{'x_0': 0.1105263157894738, 'x_3': 0.4845360824742268, 'x_6': 0.5168776371308016, 'x_7': 0.3584905660377359, 'x_8': 0.4462025316455696, 'x_9': 0.1341030195381883, 'x_10': 0.2601626016260163, 'x_11': 0.7765567765567767, 'x_12': 0.2734436564223799}"
wine,model_1layers_20neurons.h5,59,0.1596560478210449,8,"{'x_3': 0.5103092783505154, 'x_5': 0.2413793103448276, 'x_6': 0.0569620253164556, 'x_8': 0.2025316455696202, 'x_9': 0.5293072824156305, 'x_10': 0.1300813008130081, 'x_11': 0.1721611721611721, 'x_12': 0.364066193853428}"
wine,model_1layers_20neurons.h5,60,0.199160099029541,10,"{'x_1': 0.4847250509164968, 'x_2': 0.6524064171122995, 'x_3': 0.5876288659793816, 'x_5': 0.2310344827586207, 'x_6': 0.0548523206751054, 'x_8': 0.170886075949367, 'x_9': 0.3410301953818828, 'x_10': 0.3170731707317073, 'x_11': 0.3076923076923076, 'x_12': 0.2301024428684003}"
wine,model_1layers_20neurons.h5,61,0.1101059913635253,9,"{'x_2': 0.4064171122994652, 'x_3': 0.2783505154639175, 'x_5': 0.7310344827586208, 'x_6': 0.6434599156118143, 'x_7': 0.1509433962264151, 'x_8': 0.5443037974683544, 'x_9': 0.3872113676731793, 'x_10': 0.3495934959349594, 'x_12': 0.5571315996847912}"
wine,model_1layers_20neurons.h5,62,0.1641428470611572,7,"{'x_0': 0.155263157894737, 'x_3': 0.3814432989690721, 'x_6': 0.4050632911392404, 'x_9': 0.1341030195381883, 'x_10': 0.5528455284552845, 'x_11': 0.6190476190476191, 'x_12': 0.0527974783293932}"
wine,model_1layers_20neurons.h5,63,0.1240448951721191,9,"{'x_3': 0.4072164948453608, 'x_5': 0.2206896551724139, 'x_6': 0.0675105485232067, 'x_7': 0.9433962264150944, 'x_8': 0.1645569620253164, 'x_9': 0.4760213143872113, 'x_10': 0.2032520325203252, 'x_11': 0.1135531135531135, 'x_12': 0.3286052009456265}"
wine,model_1layers_20neurons.h5,64,0.2095108032226562,8,"{'x_5': 0.2482758620689655, 'x_6': 0.1223628691983122, 'x_7': 0.5660377358490566, 'x_8': 0.3291139240506329, 'x_9': 0.7939609236234458, 'x_10': 0.3008130081300813, 'x_11': 0.1062271062271062, 'x_12': 0.3286052009456265}"
wine,model_1layers_20neurons.h5,65,0.1067900657653808,12,"{'x_0': 0.4236842105263161, 'x_1': 0.0957230142566191, 'x_2': 0.3529411764705882, 'x_3': 0.3195876288659794, 'x_5': 0.3586206896551724, 'x_6': 0.2257383966244725, 'x_7': 0.7547169811320755, 'x_8': 0.0632911392405063, 'x_9': 0.3561278863232682, 'x_10': 0.4065040650406504, 'x_11': 0.1172161172161173, 'x_12': 0.1355397951142632}"
wine,model_1layers_20neurons.h5,66,0.1050562858581543,10,"{'x_0': 0.5157894736842108, 'x_2': 0.663101604278075, 'x_3': 1.0, 'x_6': 0.5379746835443038, 'x_7': 0.1509433962264151, 'x_8': 0.4873417721518987, 'x_9': 0.1429840142095914, 'x_10': 0.6747967479674797, 'x_11': 0.8168498168498168, 'x_12': 0.5571315996847912}"
wine,model_1layers_20neurons.h5,67,0.1434006690979004,8,"{'x_0': 0.7184210526315788, 'x_3': 0.458762886597938, 'x_6': 0.5063291139240506, 'x_8': 0.2943037974683544, 'x_9': 0.325044404973357, 'x_10': 0.6260162601626016, 'x_11': 0.6336996336996337, 'x_12': 0.7541371158392436}"
wine,model_1layers_20neurons.h5,68,0.112748384475708,10,"{'x_1': 0.2586558044806517, 'x_2': 0.4331550802139036, 'x_3': 0.5360824742268042, 'x_6': 0.4873417721518986, 'x_7': 0.4528301886792453, 'x_8': 0.2943037974683544, 'x_9': 0.0905861456483126, 'x_10': 0.3089430894308944, 'x_11': 0.7362637362637363, 'x_12': 0.0788022064617809}"
wine,model_1layers_20neurons.h5,69,0.1585032939910888,10,"{'x_1': 0.5417515274949083, 'x_3': 0.5618556701030928, 'x_5': 0.2482758620689655, 'x_6': 0.1814345991561181, 'x_7': 0.0754716981132075, 'x_8': 0.1329113924050632, 'x_9': 0.2895204262877442, 'x_10': 0.2439024390243903, 'x_11': 0.0073260073260073, 'x_12': 0.2537431048069346}"
wine,model_1layers_20neurons.h5,70,0.1256053447723388,11,"{'x_0': 0.4763157894736842, 'x_1': 0.4215885947046842, 'x_2': 0.6684491978609625, 'x_5': 0.4620689655172414, 'x_6': 0.0548523206751054, 'x_7': 0.7547169811320755, 'x_8': 0.1234177215189873, 'x_9': 0.2824156305506217, 'x_10': 0.3333333333333333, 'x_11': 0.3223443223443222, 'x_12': 0.2458628841607565}"
wine,model_1layers_20neurons.h5,71,0.1014347076416015,10,"{'x_0': 0.6947368421052631, 'x_1': 0.0733197556008146, 'x_2': 0.2994652406417112, 'x_3': 0.3814432989690721, 'x_6': 0.3059071729957805, 'x_7': 0.3584905660377359, 'x_9': 0.1829484902309058, 'x_10': 0.6097560975609757, 'x_11': 0.4358974358974358, 'x_12': 0.2773837667454689}"
